Instruction,Response
Article 135 of Indian Constitution,"Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court Until Parliament by law otherwise provides, the Supreme Court shall also have jurisdiction and powers with respect to any matter to which the provisions of Article 133 or Article 134 do not apply if jurisdiction and powers in relation to that matter were exercisable by the Federal Court immediately before the commencement of this Constitution under any existing law""
Article 136 of Indian Constitution,""Special leave to appeal by the Supreme Court
(1) Notwithstanding anything in this Chapter, the Supreme Court may, in its discretion, grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India
(2) Nothing in clause ( 1 ) shall apply to any judgment, determination, sentence or order passed or made by any court or tribunal constituted by or under any law relating to the Armed Forces"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 136 of Indian Constitution,"Special leave to appeal by the Supreme Court
(1) Notwithstanding anything in this Chapter, the Supreme Court may, in its discretion, grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India
(2) Nothing in clause ( 1 ) shall apply to any judgment, determination, sentence or order passed or made by any court or tribunal constituted by or under any law relating to the Armed Forces""
Article 137 of Indian Constitution,""Review of judgments or orders by the Supreme Court Subject to the provisions of any law made by Parliament or any rules made under Article 145, the Supreme Court shall have power to review any judgment pronounced or order made by it"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 137 of Indian Constitution,"Review of judgments or orders by the Supreme Court Subject to the provisions of any law made by Parliament or any rules made under Article 145, the Supreme Court shall have power to review any judgment pronounced or order made by it""
Article 138 of Indian Constitution,""Enlargement of the jurisdiction of the Supreme Court
(1) The Supreme Court shall have such further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer
(2) The Supreme Court shall have such further jurisdiction, and powers with respect to any matter as the Government of India and the Government of any State may by special agreement confer, if Parliament by law provides for the exercise of such jurisdiction and powers by the Supreme Court"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 138 of Indian Constitution,"Enlargement of the jurisdiction of the Supreme Court
(1) The Supreme Court shall have such further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer
(2) The Supreme Court shall have such further jurisdiction, and powers with respect to any matter as the Government of India and the Government of any State may by special agreement confer, if Parliament by law provides for the exercise of such jurisdiction and powers by the Supreme Court""
Article 139 of Indian Constitution,""Conferment on the Supreme Court of powers to issue certain writs Parliament may by law confer on the Supreme Court power to issue directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, or any of them, for any purposes other than those mentioned in clause ( 2 ) of Article 32"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 139 of Indian Constitution,"Conferment on the Supreme Court of powers to issue certain writs Parliament may by law confer on the Supreme Court power to issue directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, or any of them, for any purposes other than those mentioned in clause ( 2 ) of Article 32""
Article 139A of Indian Constitution,""Transfer of certain cases
(1) Where cases involving the same or substantially the same questions of law are pending before the Supreme Court and one or more High Courts or before two or more High Courts and the Supreme Court is satisfied on its own motion or an application made by the Attorney General of India or by a party to any such case that such questions are substantial questions of general importance, the Supreme Court may withdraw the case or cases pending before the High Court or the High Courts and dispose of all the cases itself: Provided that the Supreme Court may after determining the said questions of law return any case so withdrawn together with a copy of its judgment on such questions to the High Court from which the case has been withdrawn, and the High Court shall on receipt thereof, proceed to dispose of the case in conformity with such judgment
(2) The Supreme Court may, if it deems it expedient so to do for the ends of justice, transfer any case, appeal or other proceedings pending before any High Court to any other High Court"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 139A of Indian Constitution,"Transfer of certain cases
(1) Where cases involving the same or substantially the same questions of law are pending before the Supreme Court and one or more High Courts or before two or more High Courts and the Supreme Court is satisfied on its own motion or an application made by the Attorney General of India or by a party to any such case that such questions are substantial questions of general importance, the Supreme Court may withdraw the case or cases pending before the High Court or the High Courts and dispose of all the cases itself: Provided that the Supreme Court may after determining the said questions of law return any case so withdrawn together with a copy of its judgment on such questions to the High Court from which the case has been withdrawn, and the High Court shall on receipt thereof, proceed to dispose of the case in conformity with such judgment
(2) The Supreme Court may, if it deems it expedient so to do for the ends of justice, transfer any case, appeal or other proceedings pending before any High Court to any other High Court""
Article 140 of Indian Constitution,Ancillary powers of Supreme Court Parliament may by law make provision for conferring upon the Supreme Court such supplemental powers not inconsistent with any of the provisions of this Constitution as may appear to be necessary or desirable for the purpose of enabling the Court more effectively to exercise the jurisdiction conferred upon it by or under this Constitution,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 140 of Indian Constitution,"Ancillary powers of Supreme Court Parliament may by law make provision for conferring upon the Supreme Court such supplemental powers not inconsistent with any of the provisions of this Constitution as may appear to be necessary or desirable for the purpose of enabling the Court more effectively to exercise the jurisdiction conferred upon it by or under this Constitution""
Article 141 of Indian Constitution,Law declared by Supreme Court to be binding on all courts The law declared by the Supreme Court shall be binding on all courts within the territory of India,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 141 of Indian Constitution,"Law declared by Supreme Court to be binding on all courts The law declared by the Supreme Court shall be binding on all courts within the territory of India""
Article 142 of Indian Constitution,""Enforcement of decrees and orders of Supreme Court and unless as to discovery, etc ( 1 ) The Supreme Court in the exercise of its jurisdiction may pass such decree or make such order as is necessary for doing complete justice in any cause or matter pending before it, and any decree so passed or orders so made shall be enforceable throughout the territory of India in such manner as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, in such manner as the President may by order prescribe
(2) Subject to the provisions of any law made in this behalf by Parliament, the Supreme Court shall, as respects the whole of the territory of India, have all and every power to make any order for the purpose of securing the attendance of any person, the discovery or production of any documents, or the investigation or punishment of any contempt of itself"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 142 of Indian Constitution,"Enforcement of decrees and orders of Supreme Court and unless as to discovery, etc ( 1 ) The Supreme Court in the exercise of its jurisdiction may pass such decree or make such order as is necessary for doing complete justice in any cause or matter pending before it, and any decree so passed or orders so made shall be enforceable throughout the territory of India in such manner as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, in such manner as the President may by order prescribe
(2) Subject to the provisions of any law made in this behalf by Parliament, the Supreme Court shall, as respects the whole of the territory of India, have all and every power to make any order for the purpose of securing the attendance of any person, the discovery or production of any documents, or the investigation or punishment of any contempt of itself""
Article 143 of Indian Constitution,""Power of President to consult Supreme Court ( 1 ) If at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court upon it, he may refer the question to that Court for consideration and the Court may, after such hearing as it thinks fit, report to the President its opinion thereon
(2) The President may, notwithstanding anything in the proviso to Article 131, refer a dispute of the kind mentioned in the said proviso to the Supreme Court for opinion and the Supreme Court shall, after such hearing as it thinks fit, report to the President its opinion thereon"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 143 of Indian Constitution,"Power of President to consult Supreme Court ( 1 ) If at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court upon it, he may refer the question to that Court for consideration and the Court may, after such hearing as it thinks fit, report to the President its opinion thereon
(2) The President may, notwithstanding anything in the proviso to Article 131, refer a dispute of the kind mentioned in the said proviso to the Supreme Court for opinion and the Supreme Court shall, after such hearing as it thinks fit, report to the President its opinion thereon""
Article 144 of Indian Constitution,""Civil and judicial authorities to act in aid of the Supreme Court All authorities, civil and judicial, in the territory of India shall act in aid of the Supreme Court"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 144 of Indian Constitution,"Civil and judicial authorities to act in aid of the Supreme Court All authorities, civil and judicial, in the territory of India shall act in aid of the Supreme Court""
Article 145 of Indian Constitution,""Rules of Court, etc
(1) Subject to the provisions of any law made by Parliament the Supreme Court may from time to time, with the approval of the President, make rules for regulating generally the practice and procedure of the Court including
(a) rules as to the persons practising before the Court,
(b) rules as to the procedure for hearing appeals, and other matters pertaining to appeals including the time within which appeals to the Court are to be entered;
(c) rules as to the proceedings in the Court for the enforcement of any of the rights conferred by Part III;
(cc) rules as to the proceedings in the Court under Article 139A;
(d) rules as to the entertainment of appeals under sub clause (c) of clause ( 1 ) of Article 134;
(e) any judgment pronounced or order made by the Court may be received and rules as to the conditions the procedure for such review including the time within which applications to the Court for such review are to be entered;
(f) rules as to the costs of and incidental to any proceedings in the Court and as to the fees to be charged in respect of proceeding therein;
(g) rules as to the granting of bail;
(h) rules as to stay of proceedings;
(i) rules providing for the summary determination of any appeal which appears to the Court to be frivolous or vexatious or brought for the purpose of delay;
(j) rules as to the procedure for inquiries referred to in clause ( 1 ) of Article 317
(2) Subject to the provisions of clause ( 3 ), rules made under this article may fix the minimum number of Judges who are to sit for any purpose, and may provide for the powers of single Judges and Division Courts
(3) The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be five: Provided that, where the Court hearing an appeal under any of the provisions of this chapter other than Article 132 consists of less than five Judges and in the course of the hearing of the appeal the Court is satisfied that the appeal involves a substantial question of law as to the interpretation of this Constitution the determination of which is necessary for the disposal of the appeal, such Court shall refer the question for opinion to a Court constituted as required by this clause for the purpose of deciding any case involving such a question and shall on receipt of the opinion dispose of the appeal in conformity with such opinion
(4) No judgment shall be delivered by the Supreme Court save in open Court, and no report shall be made under Article 143 save in accordance with an opinion also delivered in open Court
(5) No judgment and no such opinion shall be delivered by the Supreme Court save with the concurrence of a majority of the Judges present at the hearing of the case, but nothing in this clause shall be deemed to prevent a Judge who does not concur from delivering a dissenting judgment or opinion"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 145 of Indian Constitution,"Rules of Court, etc
(1) Subject to the provisions of any law made by Parliament the Supreme Court may from time to time, with the approval of the President, make rules for regulating generally the practice and procedure of the Court including
(a) rules as to the persons practising before the Court,
(b) rules as to the procedure for hearing appeals, and other matters pertaining to appeals including the time within which appeals to the Court are to be entered;
(c) rules as to the proceedings in the Court for the enforcement of any of the rights conferred by Part III;
(cc) rules as to the proceedings in the Court under Article 139A;
(d) rules as to the entertainment of appeals under sub clause (c) of clause ( 1 ) of Article 134;
(e) any judgment pronounced or order made by the Court may be received and rules as to the conditions the procedure for such review including the time within which applications to the Court for such review are to be entered;
(f) rules as to the costs of and incidental to any proceedings in the Court and as to the fees to be charged in respect of proceeding therein;
(g) rules as to the granting of bail;
(h) rules as to stay of proceedings;
(i) rules providing for the summary determination of any appeal which appears to the Court to be frivolous or vexatious or brought for the purpose of delay;
(j) rules as to the procedure for inquiries referred to in clause ( 1 ) of Article 317
(2) Subject to the provisions of clause ( 3 ), rules made under this article may fix the minimum number of Judges who are to sit for any purpose, and may provide for the powers of single Judges and Division Courts
(3) The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be five: Provided that, where the Court hearing an appeal under any of the provisions of this chapter other than Article 132 consists of less than five Judges and in the course of the hearing of the appeal the Court is satisfied that the appeal involves a substantial question of law as to the interpretation of this Constitution the determination of which is necessary for the disposal of the appeal, such Court shall refer the question for opinion to a Court constituted as required by this clause for the purpose of deciding any case involving such a question and shall on receipt of the opinion dispose of the appeal in conformity with such opinion
(4) No judgment shall be delivered by the Supreme Court save in open Court, and no report shall be made under Article 143 save in accordance with an opinion also delivered in open Court
(5) No judgment and no such opinion shall be delivered by the Supreme Court save with the concurrence of a majority of the Judges present at the hearing of the case, but nothing in this clause shall be deemed to prevent a Judge who does not concur from delivering a dissenting judgment or opinion""
Article 146 of Indian Constitution,""Officers and servants and the expenses of the Supreme Court
(1) Appointments of officers and servants of the Supreme Court shall be made by the Chief Justice of India or such other Judge or officer of the Court as he may direct: Provided that the President may by rule require that in such cases as may be specified in the rule, no person not already attached to the Court shall be appointed to any office connected with the Court, save after consultation with the Union Public Service Commission
(2) Subject to the provisions of any law made by Parliament, the conditions of service of officers and servants of the Supreme Court shall be such as may be prescribed by rules made by the Chief Justice of India or by some other Judge or officer of the Court authorised by the Chief Justice of India to make rules for the purpose: Provided that the rules made under this clause shall, so far as they relate to salaries, allowances, leave or pensions, require the approval of the President
(3) The administrative expenses of the Supreme Court, including all salaries, allowances and pensions payable to or in respect of the offices and servants of the Court, shall be charged upon the Consolidated Fund of India, and any fees or other moneys taken by the court shall form part of that Fund"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 146 of Indian Constitution,"Officers and servants and the expenses of the Supreme Court
(1) Appointments of officers and servants of the Supreme Court shall be made by the Chief Justice of India or such other Judge or officer of the Court as he may direct: Provided that the President may by rule require that in such cases as may be specified in the rule, no person not already attached to the Court shall be appointed to any office connected with the Court, save after consultation with the Union Public Service Commission
(2) Subject to the provisions of any law made by Parliament, the conditions of service of officers and servants of the Supreme Court shall be such as may be prescribed by rules made by the Chief Justice of India or by some other Judge or officer of the Court authorised by the Chief Justice of India to make rules for the purpose: Provided that the rules made under this clause shall, so far as they relate to salaries, allowances, leave or pensions, require the approval of the President
(3) The administrative expenses of the Supreme Court, including all salaries, allowances and pensions payable to or in respect of the offices and servants of the Court, shall be charged upon the Consolidated Fund of India, and any fees or other moneys taken by the court shall form part of that Fund""
Article 147 of Indian Constitution,""Interpretation In this Chapter and in Chapter V of Part VI references to any substantial question of law as to the interpretation of this Constitution shall be construed as including references to any substantial question of law as to the interpretation of the Government of India Act, 1935 (including any enactment amending or supplementing that Act), or of any Order in Council or order made thereunder, or of the Indian Independence Act, 1947 , or of any order made thereunder CHAPTER V COMPTROLLER AND AUDITOR GENERAL OF INDIA"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 147 of Indian Constitution,"Interpretation In this Chapter and in Chapter V of Part VI references to any substantial question of law as to the interpretation of this Constitution shall be construed as including references to any substantial question of law as to the interpretation of the Government of India Act, 1935 (including any enactment amending or supplementing that Act), or of any Order in Council or order made thereunder, or of the Indian Independence Act, 1947 , or of any order made thereunder CHAPTER V COMPTROLLER AND AUDITOR GENERAL OF INDIA""
Article 148 of Indian Constitution,""Comptroller and Auditor General of India
(1) There shall be a Comptroller and Auditor General of India who shall be appointed by the President by warrant under his hand and seal and shall only be removed from office in like manner and on the like grounds as a Judge of the Supreme Court
(2) Every person appointed to be the Comptroller and Auditor General of India shall, before he enters upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule
(3) The salary and other conditions of service of the Comptroller and Auditor General shall be such as may be determined by Parliament by law and, until they are so determined, shall be as specified in the Second Schedule: Provided that neither the salary of a Comptroller and Auditor General nor his rights in respect of leave of absence, pension or age of retirement shall be varied to his disadvantage after his appointment
(4) The Comptroller and Auditor General shall not be eligible for further office either under the Government of India or under the Government of any State after he has ceased to hold his office
(5) Subject to the provisions of this Constitution and of any law made by Parliament, the conditions of service of persons serving in the Indian Audit and Accounts Department and the administrative powers of the Comptroller and Auditor General shall be such as may be prescribed by rules made by the President after consultation with the Comptroller and Auditor General
(6) The Administrative expenses of the office of the Comptroller and Auditor General, including all salaries, allowances and pensions payable to or in respect of pensions serving in that office, shall be charged upon the Consolidated Fund of India"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 148 of Indian Constitution,"Comptroller and Auditor General of India
(1) There shall be a Comptroller and Auditor General of India who shall be appointed by the President by warrant under his hand and seal and shall only be removed from office in like manner and on the like grounds as a Judge of the Supreme Court
(2) Every person appointed to be the Comptroller and Auditor General of India shall, before he enters upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule
(3) The salary and other conditions of service of the Comptroller and Auditor General shall be such as may be determined by Parliament by law and, until they are so determined, shall be as specified in the Second Schedule: Provided that neither the salary of a Comptroller and Auditor General nor his rights in respect of leave of absence, pension or age of retirement shall be varied to his disadvantage after his appointment
(4) The Comptroller and Auditor General shall not be eligible for further office either under the Government of India or under the Government of any State after he has ceased to hold his office
(5) Subject to the provisions of this Constitution and of any law made by Parliament, the conditions of service of persons serving in the Indian Audit and Accounts Department and the administrative powers of the Comptroller and Auditor General shall be such as may be prescribed by rules made by the President after consultation with the Comptroller and Auditor General
(6) The Administrative expenses of the office of the Comptroller and Auditor General, including all salaries, allowances and pensions payable to or in respect of pensions serving in that office, shall be charged upon the Consolidated Fund of India""
Article 149 of Indian Constitution,""Duties and powers of the Comptroller and Auditor General The Comptroller and Auditor General shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States and of any other authority or body as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States as were conferred on or exercisable by the Auditor General of India immediately before the commencement of this Constitution in relation to the accounts of the Dominion of India and of the Provinces respectively"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 149 of Indian Constitution,"Duties and powers of the Comptroller and Auditor General The Comptroller and Auditor General shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States and of any other authority or body as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States as were conferred on or exercisable by the Auditor General of India immediately before the commencement of this Constitution in relation to the accounts of the Dominion of India and of the Provinces respectively""
Article 150 of Indian Constitution,""Form of accounts of the Union and of the States The accounts of the Union and of the States shall be kept in such form as the President may, on the advice of the Comptroller and Auditor General of India, prescribe"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 150 of Indian Constitution,"Form of accounts of the Union and of the States The accounts of the Union and of the States shall be kept in such form as the President may, on the advice of the Comptroller and Auditor General of India, prescribe""
Article 151 of Indian Constitution,""Audit reports
(1) The reports of the Comptroller and Auditor General of India relating to the accounts of the Union shall be submitted to the President, who shall cause them to be laid before each House of Parliament
(2) The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the Governor of the State, who shall cause them to be laid before the Legislature of the State PART VI THE STATES CHAPTER I GENERAL"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 151 of Indian Constitution,"Audit reports
(1) The reports of the Comptroller and Auditor General of India relating to the accounts of the Union shall be submitted to the President, who shall cause them to be laid before each House of Parliament
(2) The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the Governor of the State, who shall cause them to be laid before the Legislature of the State PART VI THE STATES CHAPTER I GENERAL""
Article 152 of Indian Constitution,""Definition In this Part, unless the context otherwise, requires, the expression State does not include the State of Jammu and Kashmir CHAPTER II THE EXECUTIVE The Governor"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 152 of Indian Constitution,"Definition In this Part, unless the context otherwise, requires, the expression State does not include the State of Jammu and Kashmir CHAPTER II THE EXECUTIVE The Governor""
Article 153 of Indian Constitution,Governors of States There shall be Governor for each State: Provided that nothing in this article shall prevent the appointment of the same person as Governor for two or more States,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 153 of Indian Constitution,"Governors of States There shall be Governor for each State: Provided that nothing in this article shall prevent the appointment of the same person as Governor for two or more States""
Article 154 of Indian Constitution,""Executive power of State
(1) The executive power of the State shall be vested in the Governor and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
(2) Nothing in this article shall
(a) be deemed to transfer to the Governor any functions conferred by any existing law on any other authority; or
(b) prevent Parliament or the Legislature of the State from conferring by law functions on any authority subordinate to the Governor"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 154 of Indian Constitution,"Executive power of State
(1) The executive power of the State shall be vested in the Governor and shall be exercised by him either directly or through officers subordinate to him in accordance with this Constitution
(2) Nothing in this article shall
(a) be deemed to transfer to the Governor any functions conferred by any existing law on any other authority; or
(b) prevent Parliament or the Legislature of the State from conferring by law functions on any authority subordinate to the Governor""
Article 155 of Indian Constitution,Appointment of Governor The Governor of a State shall be appointed by the President by warrant under his hand and seal,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 155 of Indian Constitution,"Appointment of Governor The Governor of a State shall be appointed by the President by warrant under his hand and seal""
Article 156 of Indian Constitution,""Term of office of Governor
(1) The Governor shall hold office during the pleasure of the President
(2) The Governor may, by writing under his hand addressed to the President, resign his office
(3) Subject to the foregoing provisions of this article, a Governor shall hold for a term of five years from the date on which he enters upon his office
(4) Provided that a Governor shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 156 of Indian Constitution,"Term of office of Governor
(1) The Governor shall hold office during the pleasure of the President
(2) The Governor may, by writing under his hand addressed to the President, resign his office
(3) Subject to the foregoing provisions of this article, a Governor shall hold for a term of five years from the date on which he enters upon his office
(4) Provided that a Governor shall, notwithstanding the expiration of his term, continue to hold office until his successor enters upon his office""
Article 157 of Indian Constitution,Qualifications for appointment as Governor No person shall be eligible for appointment as Governor unless he is a citizen of India and has completed the age of thirty five years,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 157 of Indian Constitution,"Qualifications for appointment as Governor No person shall be eligible for appointment as Governor unless he is a citizen of India and has completed the age of thirty five years""
Article 158 of Indian Constitution,""Conditions of Governor office
(1) The Governor shall not be a member of either House of Parliament or of a House of the Legislature of any State specified in the First Schedule, and if a member of either House of Parliament or of a House of the Legislature of any such State be appointed Governor, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as Governor
(2) The Governor shall not hold any other office of profit
(3) The Governor shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in Second Schedule
(3A) Where the same person is appointed as Governor of two or more States, the emoluments and allowances payable to the Governor shall be allocated among the States in such proportion as the President may by order determine
(4) The emoluments and allowances of the Governor shall not be diminished during his term of office"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 158 of Indian Constitution,"Conditions of Governor office
(1) The Governor shall not be a member of either House of Parliament or of a House of the Legislature of any State specified in the First Schedule, and if a member of either House of Parliament or of a House of the Legislature of any such State be appointed Governor, he shall be deemed to have vacated his seat in that House on the date on which he enters upon his office as Governor
(2) The Governor shall not hold any other office of profit
(3) The Governor shall be entitled without payment of rent to the use of his official residences and shall be also entitled to such emoluments, allowances and privileges as may be determined by Parliament by law and, until provision in that behalf is so made, such emoluments, allowances and privileges as are specified in Second Schedule
(3A) Where the same person is appointed as Governor of two or more States, the emoluments and allowances payable to the Governor shall be allocated among the States in such proportion as the President may by order determine
(4) The emoluments and allowances of the Governor shall not be diminished during his term of office""
Article 159 of Indian Constitution,""Oath or affirmation by Governor Every Governor and every person discharging the functions of the Governor shall, before entering upon his office, make and subscribe in the presence of the chief Justice of the High Court exercising jurisdiction in relation to the State, or, in his absence, the senior most Judge of that court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I solemnly affirm will faithfully execute the office of Governor (or discharge the functions of the Governor) of (name of the State) and will to the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of (name of the State)"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 159 of Indian Constitution,"Oath or affirmation by Governor Every Governor and every person discharging the functions of the Governor shall, before entering upon his office, make and subscribe in the presence of the chief Justice of the High Court exercising jurisdiction in relation to the State, or, in his absence, the senior most Judge of that court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I solemnly affirm will faithfully execute the office of Governor (or discharge the functions of the Governor) of (name of the State) and will to the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of (name of the State)""
Article 160 of Indian Constitution,Discharge of the functions of the Governor in certain contingencies The President may make such provision as he thinks fit for the discharge of the functions of the Governor of a State in any contingency not provided for in this Chapter,""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 160 of Indian Constitution,"Discharge of the functions of the Governor in certain contingencies The President may make such provision as he thinks fit for the discharge of the functions of the Governor of a State in any contingency not provided for in this Chapter""
Article 161 of Indian Constitution,""Power of Governor to grant pardons, etc, and to suspend, remit or commute sentences in certain cases The Governor of a State shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence against any law relating to a matter to which the executive power of the State extends"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 161 of Indian Constitution,"Power of Governor to grant pardons, etc, and to suspend, remit or commute sentences in certain cases The Governor of a State shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence against any law relating to a matter to which the executive power of the State extends""
Article 162 of Indian Constitution,""Extent of executive power of State Subject to the provisions of this Constitution, the executive power of a State shall extend to the matters with respect to which the Legislature of the State has power to make laws Provided that in any matter with respect to which the Legislature of a State and Parliament have power to make laws, the executive power of the State shall be subject to, and limited by, the executive power expressly conferred by the Constitution or by any law made by Parliament upon the Union or authorities thereof Council of Ministers"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 162 of Indian Constitution,"Extent of executive power of State Subject to the provisions of this Constitution, the executive power of a State shall extend to the matters with respect to which the Legislature of the State has power to make laws Provided that in any matter with respect to which the Legislature of a State and Parliament have power to make laws, the executive power of the State shall be subject to, and limited by, the executive power expressly conferred by the Constitution or by any law made by Parliament upon the Union or authorities thereof Council of Ministers""
Article 163 of Indian Constitution,""Council of Ministers to aid and advise Governor
(1) There shall be a council of Ministers with the chief Minister at the head to aid and advise the Governor in the exercise of his functions, except in so far as he is by or under this constitution required to exercise his functions or any of them in his discretion
(2) If any question arises whether any matter is or is not a matter as respects which the Governor is by or under this Constitution required to act in his discretion, the decision of the Governor in his discretion shall be final, and the validity of anything done by the Governor shall not be called in question on the ground that he ought or ought not to have acted in his discretion
(3) The question whether any, and if so what, advice was tendered by Ministers to the Governor shall not be inquired into in any court"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
Article 163 of Indian Constitution,"Council of Ministers to aid and advise Governor
(1) There shall be a council of Ministers with the chief Minister at the head to aid and advise the Governor in the exercise of his functions, except in so far as he is by or under this constitution required to exercise his functions or any of them in his discretion
(2) If any question arises whether any matter is or is not a matter as respects which the Governor is by or under this Constitution required to act in his discretion, the decision of the Governor in his discretion shall be final, and the validity of anything done by the Governor shall not be called in question on the ground that he ought or ought not to have acted in his discretion
(3) The question whether any, and if so what, advice was tendered by Ministers to the Governor shall not be inquired into in any court""
Article 164 of Indian Constitution,""Other provisions as to Ministers
(1) The chief Minister shall be appointed by the Governor and the other Ministers shall be appointed by the Governor on the advice of the Chief Minister, and the Ministers shall hold office during the pleasure of the Governor: Provided that in the State of Bihar, Madhya Pradesh and Orissa, there shall be a Minister in charge of tribal welfare who may in addition be in charge of the welfare of the Scheduled Castes and backward classes or any other work
(2) The Council of Ministers shall be collectively responsible to the Legislative Assembly of the State
(3) Before a Minister enters upon his office, the Governor shall administer so him the oaths of office and of secrecy according to the forms set out for the purpose in the Third Schedule
(4) A Minister who for any period of six consecutive months is not a member of the Legislature of the State shall at the expiration of that period cease to be a Minister
(5) The salaries and allowances of Ministers shall be such as the Legislature of the State may from time to time by law determine and, until the Legislature of the State so determines, shall be as specified in the Second Schedule The Advocate General for the State"",""Below is an instruction that describes a task or a question. Write a response that appropriately completes the request."
